,Country,no_of_stars,name,city,cuisine
17,Japan,1,Shintaro,Osaka,Tempura
18,Japan,1,Soba Takama,Osaka,Soba
19,Japan,1,Différence,Osaka,French
20,Japan,1,Kappo Hashimoto,Osaka,Japanese
21,Japan,1,Hiraishi,Osaka,Tempura
22,Japan,1,Sushidokoro Hirokawa,Osaka,Sushi
23,Japan,1,Sushi Hoshiyama,Osaka,Sushi
24,Japan,1,Kaiseki Honda,Osaka,Japanese
25,Japan,1,Man-u,Osaka,Oden
26,Japan,1,Sushi Minazuki,Osaka,Sushi
27,Japan,1,Yuno,Osaka,Japanese
28,Japan,1,Yoshiko,Osaka,Fugu
29,Japan,1,Yoshino,Osaka,Japanese
30,Japan,1,Rakushin,Osaka,Japanese
31,Japan,1,Lumière,Osaka,French
32,Japan,1,Le Pont de Ciel,Osaka,French
33,Japan,1,Wagen,Osaka,Japanese
34,Japan,1,Ad Hoc,Osaka,French
35,Japan,1,Sosakuwasho Nakashima,Osaka,Japanese
36,Japan,1,Maeshiba Ryoriten,Osaka,French
37,Japan,1,Sobakiri masa,Osaka,Soba
38,Japan,1,Mitsuya,Osaka,Japanese
39,Japan,1,Shinchi Yamamoto,Osaka,Japanese
40,Japan,1,Torisho Ishii,Osaka,Yakitori
41,Japan,1,Choraku,Osaka,Oden
42,Japan,1,Terada,Osaka,Japanese
43,Japan,1,Hozenji Sushidokoro Nakatani,Osaka,Sushi
44,Japan,1,Pierre,Osaka,French
45,Japan,1,Agnel d'Or,Osaka,French
46,Japan,1,Onohoué,Osaka,French
47,Japan,1,Kawahara,Osaka,Japanese
48,Japan,1,Kitashinchi Fukutatei,Osaka,Steakhouse
49,Japan,1,Sui,Osaka,Japanese
50,Japan,1,Zeshin,Osaka,Japanese
51,Japan,1,Chugokusai S.Sawada,Osaka,Chinese
52,Japan,1,Temmabashi Fujikawa,Osaka,Japanese
53,Japan,1,Nishitemma Nakamura,Osaka,Japanese
54,Japan,1,Maison Tateru Yoshino,Osaka,French
55,Japan,1,Yonemasu,Osaka,Japanese
56,Japan,1,La Kanro,Osaka,French
57,Japan,1,La Baie,Osaka,French
58,Japan,1,Alarde,Osaka,Spanish
59,Japan,1,Ñ,Osaka,Spanish
60,Japan,1,Oimatsu Hisano,Osaka,Japanese
61,Japan,1,Sushiroku,Osaka,Sushi
62,Japan,1,Naniwaryori Yu,Osaka,Japanese
63,Japan,1,P Greco,Osaka,Italian
64,Japan,1,Prune,Osaka,French
65,Japan,1,Yakitori Ichimatsu,Osaka,Yakitori
66,Japan,1,La Casa Tom Curiosa,Osaka,Italian
67,Japan,1,Liaison,Osaka,French
68,Japan,1,Il CentrinoNEW,Osaka,Italian
69,Japan,1,Oryori HorikawaNEW,Osaka,Japanese
70,Japan,1,Chi-FuNEW,Osaka,Chinese
71,Japan,1,ShorokuNEW,Osaka,Japanese
72,Japan,1,Sushi OhataNEW,Osaka,Sushi
73,Japan,1,Sushi Murakami JiroNEW,Osaka,Sushi
74,Japan,1,TeruyaNEW,Osaka,Japanese
75,Japan,1,Tempura HanagatamiNEW,Osaka,Tempura
76,Japan,1,NishinoNEW,Osaka,Japanese
77,Japan,1,HatsuNEW,Osaka,Innovative
0,Japan,2,Aoki,Osaka,Japanese
1,Japan,2,Ichiju Nisai Ueno Minoten,Osaka,Japanese
2,Japan,2,Kasho,Osaka,Japanese
3,Japan,2,Kahala,Osaka,Innovative
4,Japan,2,Kitahachi,Osaka,Fugu
5,Japan,2,Koryu,Osaka,Japanese
6,Japan,2,Shunsaiten Tsuchiya,Osaka,Tempura
7,Japan,2,Sushiyoshi,Osaka,Sushi
8,Japan,2,Yunagibashi Takoyasu,Osaka,Fugu
9,Japan,2,Sushi Harasho,Osaka,Sushi
10,Japan,2,Fujiya 1935,Osaka,Innovative
11,Japan,2,Honkogetsu,Osaka,Japanese
12,Japan,2,Masuda,Osaka,Japanese
13,Japan,2,Miyamoto,Osaka,Japanese
14,Japan,2,La Cime,Osaka,French
0,Japan,3,Kashiwaya,Osaka,Japanese
1,Japan,3,Taian,Osaka,Japanese
2,Japan,3,Hajime,Osaka,Innovative
0,Japan,1,Akai,Kyoto,Japanese
1,Japan,1,Kamigamo Akiyama,Kyoto,Japanese
2,Japan,1,Aji Fukushima,Kyoto,Japanese
3,Japan,1,Aji Rakuzan,Kyoto,Japanese
4,Japan,1,Iwasaki,Kyoto,Japanese
5,Japan,1,Uozuya,Kyoto,Japanese
6,Japan,1,Gion Okada,Kyoto,Japanese
7,Japan,1,Ogawa,Kyoto,Japanese
8,Japan,1,Ogawa,Kyoto,Soba
9,Japan,1,Okina,Kyoto,Japanese
10,Japan,1,Kako Okamoto,Kyoto,Japanese
